Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,# of Deaths/Readmissions,# of Cases,Hospital Ratings,Location 1
2013-2014,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Mortality,12.28,305,41,As Expected,"(36.84246, -119.7832)"
2013-2014,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Readmission,8.95,281,27,As Expected,"(36.84246, -119.7832)"
2013-2014,Humboldt,Mad River Community Hospital,106121002,30-day Readmission,6.87,54,3,As Expected,"(40.90351, -124.09038)"
2013-2014,Humboldt,Mad River Community Hospital,106121002,30-day Mortality,11.79,60,7,As Expected,"(40.90351, -124.09038)"
2013-2014,Humboldt,Redwood Memorial Hospital,106121051,30-day Mortality,19.17,33,6,As Expected,"(40.58267, -124.13549)"
2013-2014,Humboldt,Redwood Memorial Hospital,106121051,30-day Readmission,,,,,"(40.58267, -124.13549)"
2013-2014,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Readmission,4.93,179,9,Better,"(40.7832, -124.14216)"
2013-2014,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Mortality,9.07,198,18,As Expected,"(40.7832, -124.14216)"
2013-2014,Imperial,El Centro Regional Medical Center,106130699,30-day Readmission,11.77,213,27,As Expected,"(32.78138, -115.49824)"
2013-2014,Imperial,El Centro Regional Medical Center,106130699,30-day Mortality,6.14,226,12,As Expected,"(32.78138, -115.49824)"
2013-2014,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Mortality,7.35,164,9,As Expected,"(32.96003, -115.55183)"
2013-2014,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Readmission,13.71,155,22,As Expected,"(32.96003, -115.55183)"
2013-2014,Kern,Bakersfield Memorial Hospital,106150722,30-day Mortality,12.27,361,36,As Expected,"(35.39051, -119.00658)"
2013-2014,Kern,Bakersfield Memorial Hospital,106150722,30-day Readmission,12.77,330,41,As Expected,"(35.39051, -119.00658)"
2013-2014,Kern,Kern Medical Center,106150736,30-day Mortality,0,50,0,As Expected,"(35.380833, -118.967222)"
2013-2014,Kern,Kern Medical Center,106150736,30-day Readmission,9.6,50,5,As Expected,"(35.380833, -118.967222)"
2013-2014,Kern,Mercy Hospital – Bakersfield,106150761,30-day Readmission,15.45,231,33,As Expected,"(35.37323, -119.02715)"
2013-2014,Kern,Mercy Hospital – Bakersfield,106150761,30-day Mortality,9.33,251,22,As Expected,"(35.37323, -119.02715)"
2013-2014,Kern,Ridgecrest Regional Hospital,106150782,30-day Mortality,17.88,34,8,As Expected,"(35.6404, -117.66996)"
2013-2014,Kern,Ridgecrest Regional Hospital,106150782,30-day Readmission,,,,,"(35.6404, -117.66996)"
2013-2014,Kern,San Joaquin Community Hospital,106150788,30-day Readmission,12.32,560,67,As Expected,"(35.383064, -119.018775)"
2013-2014,Kern,San Joaquin Community Hospital,106150788,30-day Mortality,14.08,606,70,Worse,"(35.383064, -119.018775)"
2013-2014,Kern,Bakersfield Heart Hospital,106154101,30-day Readmission,13.87,85,11,As Expected,"(35.38619, -119.04314)"
2013-2014,Kern,Bakersfield Heart Hospital,106154101,30-day Mortality,12.31,90,9,As Expected,"(35.38619, -119.04314)"
2013-2014,Kings,Adventist Medical Center,106164029,30-day Mortality,12.58,248,22,As Expected,"(36.3256247, -119.6683912)"
2013-2014,Kings,Adventist Medical Center,106164029,30-day Readmission,9.59,229,21,As Expected,"(36.3256247, -119.6683912)"
2013-2014,Lake,Sutter Lakeside Hospital,106171395,30-day Readmission,7.22,58,4,As Expected,"(39.10232, -122.91003)"
2013-2014,Lake,Sutter Lakeside Hospital,106171395,30-day Mortality,9.93,63,7,As Expected,"(39.10232, -122.91003)"
2013-2014,Los Angeles,Alhambra Hospital Medical Center,106190017,30-day Readmission,11.2,104,13,As Expected,"(34.08988, -118.1449)"
2013-2014,Los Angeles,Alhambra Hospital Medical Center,106190017,30-day Mortality,6.85,110,7,As Expected,"(34.08988, -118.1449)"
2013-2014,Los Angeles,Antelope Valley Hospital,106190034,30-day Readmission,15.25,400,60,As Expected,"(34.68928, -118.15767)"
2013-2014,Los Angeles,Antelope Valley Hospital,106190034,30-day Mortality,15.8,438,56,Worse,"(34.68928, -118.15767)"
2013-2014,Los Angeles,Saint Mary Medical Center --Long Beach,106190053,30-day Mortality,9.29,197,17,As Expected,"(33.7802376, -118.1866412)"
2013-2014,Los Angeles,Saint Mary Medical Center --Long Beach,106190053,30-day Readmission,14.24,178,31,As Expected,"(33.7802376, -118.1866412)"
2013-2014,Los Angeles,Beverly Hospital,106190081,30-day Readmission,12.64,143,20,As Expected,"(34.01614, -118.10132)"
2013-2014,Los Angeles,Beverly Hospital,106190081,30-day Mortality,9.88,154,14,As Expected,"(34.01614, -118.10132)"
2013-2014,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Readmission,16.57,96,18,As Expected,"(34.02328, -118.39724)"
2013-2014,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Mortality,2.51,101,2,Better,"(34.02328, -118.39724)"
2013-2014,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Readmission,13.53,318,44,As Expected,"(34.03721, -118.26551)"
2013-2014,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Mortality,13.03,345,24,As Expected,"(34.03721, -118.26551)"
2013-2014,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Readmission,14.76,410,76,As Expected,"(33.94917, -118.34788)"
2013-2014,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Mortality,5.82,428,14,As Expected,"(33.94917, -118.34788)"
2013-2014,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Readmission,11.34,35,4,As Expected,"(33.98929, -118.22466)"
2013-2014,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Mortality,8.55,38,2,As Expected,"(33.98929, -118.22466)"
2013-2014,Los Angeles,Los Angeles Community Hospital,106190198,30-day Readmission,11.82,31,4,As Expected,"(34.01897, -118.1875)"
2013-2014,Los Angeles,Los Angeles Community Hospital,106190198,30-day Mortality,6.17,31,1,As Expected,"(34.01897, -118.1875)"
2013-2014,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Mortality,7.37,129,12,As Expected,"(34.1024, -118.10503)"
2013-2014,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Readmission,10.7,120,14,As Expected,"(34.1024, -118.10503)"
2013-2014,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Readmission,15.41,343,55,As Expected,"(33.86016, -118.14837)"
2013-2014,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Mortality,12.01,368,30,As Expected,"(33.86016, -118.14837)"
2013-2014,Los Angeles,Pih Hospital - Downey,106190243,30-day Readmission,9.35,193,18,As Expected,"(33.93515, -118.13196)"
2013-2014,Los Angeles,Pih Hospital - Downey,106190243,30-day Mortality,12.04,206,20,As Expected,"(33.93515, -118.13196)"
2013-2014,Los Angeles,Encino Hospital Medical Center,106190280,30-day Readmission,,,,,"(34.15686, -118.48662)"
2013-2014,Los Angeles,Encino Hospital Medical Center,106190280,30-day Mortality,3.32,34,2,As Expected,"(34.15686, -118.48662)"
2013-2014,Los Angeles,Foothill Presbyterian Hospital – JohAs Expectedton Memorial,106190298,30-day Mortality,13.04,101,10,As Expected,"(34.13384, -117.87244)"
2013-2014,Los Angeles,Foothill Presbyterian Hospital – JohAs Expectedton Memorial,106190298,30-day Readmission,15.5,91,12,As Expected,"(34.13384, -117.87244)"
2013-2014,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Readmission,5.83,112,7,As Expected,"(34.06464, -118.23905)"
2013-2014,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Mortality,5.11,116,4,As Expected,"(34.06464, -118.23905)"
2013-2014,Los Angeles,Garfield Medical Center,106190315,30-day Readmission,15.06,293,48,As Expected,"(34.06826, -118.12302)"
2013-2014,Los Angeles,Garfield Medical Center,106190315,30-day Mortality,6.7,316,25,Better,"(34.06826, -118.12302)"
2013-2014,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Mortality,6.31,409,34,Better,"(34.14951, -118.23109)"
2013-2014,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Readmission,12.17,382,50,As Expected,"(34.14951, -118.23109)"
2013-2014,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission,16.83,229,38,As Expected,"(34.09557, -118.29163)"
2013-2014,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Mortality,8.53,252,21,As Expected,"(34.09557, -118.29163)"
2013-2014,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Mortality,11.38,375,43,As Expected,"(34.2791, -118.45951)"
2013-2014,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Readmission,13.41,355,52,As Expected,"(34.2791, -118.45951)"
2013-2014,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Readmission,14.27,187,28,As Expected,"(34.05324, -118.26522)"
2013-2014,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Mortality,7.39,198,13,As Expected,"(34.05324, -118.26522)"
2013-2014,Los Angeles,Huntington Memorial Hospital,106190400,30-day Mortality,8.14,559,49,As Expected,"(34.13565, -118.1518)"
2013-2014,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission,11.19,522,59,As Expected,"(34.13565, -118.1518)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Mortality,8.43,146,10,As Expected,"(34.08993, -117.89264)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Readmission,14.44,137,20,As Expected,"(34.08993, -117.89264)"
2013-2014,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Readmission,14.58,552,79,As Expected,"(33.81258, -118.34388)"
2013-2014,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Mortality,10.19,614,67,As Expected,"(33.81258, -118.34388)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – SuAs Expectedet,106190429,30-day Readmission,11.39,375,46,As Expected,"(34.09823, -118.29545)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – SuAs Expectedet,106190429,30-day Mortality,10.84,413,38,As Expected,"(34.09823, -118.29545)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Readmission,14.16,283,47,As Expected,"(33.789, -118.29415)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Mortality,10.58,316,31,As Expected,"(33.789, -118.29415)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Readmission,10.71,236,26,As Expected,"(34.21975, -118.43009)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Mortality,17.85,252,34,Worse,"(34.21975, -118.43009)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Readmission,12.75,429,60,As Expected,"(34.03793, -118.37568)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Mortality,9.1,454,25,As Expected,"(34.03793, -118.37568)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Readmission,13.31,537,74,As Expected,"(33.83767, -118.35708)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Mortality,10.26,587,48,As Expected,"(33.83767, -118.35708)"
2013-2014,Los Angeles,Community Hospital Long Beach,106190475,30-day Readmission,5.96,48,3,As Expected,"(33.78871, -118.14578)"
2013-2014,Los Angeles,Community Hospital Long Beach,106190475,30-day Mortality,9.43,54,5,As Expected,"(33.78871, -118.14578)"
2013-2014,Los Angeles,Marina Del Rey Hospital,106190500,30-day Readmission,8.97,65,6,As Expected,"(33.98125, -118.43971)"
2013-2014,Los Angeles,Marina Del Rey Hospital,106190500,30-day Mortality,11.06,69,7,As Expected,"(33.98125, -118.43971)"
2013-2014,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Readmission,12.53,215,28,As Expected,"(34.16985, -118.53136)"
2013-2014,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Mortality,6.8,232,19,As Expected,"(34.16985, -118.53136)"
2013-2014,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Readmission,13.77,89,14,As Expected,"(33.89246, -118.29493)"
2013-2014,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Mortality,9.24,97,5,As Expected,"(33.89246, -118.29493)"
2013-2014,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Readmission,13.82,136,20,As Expected,"(34.1284, -118.25769)"
2013-2014,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Mortality,4.98,144,6,As Expected,"(34.1284, -118.25769)"
2013-2014,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Readmission,12.51,47,7,As Expected,"(34.22138, -118.45639)"
2013-2014,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Mortality,5.34,48,3,As Expected,"(34.22138, -118.45639)"
2013-2014,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Readmission,12.2,643,79,As Expected,"(33.80801, -118.1852)"
2013-2014,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Mortality,9.71,688,52,As Expected,"(33.80801, -118.1852)"
2013-2014,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Readmission,12.48,511,67,As Expected,"(34.13603, -118.03879)"
2013-2014,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Mortality,8.21,545,52,As Expected,"(34.13603, -118.03879)"
2013-2014,Los Angeles,Olympia Medical Center,106190534,30-day Readmission,15.89,57,11,As Expected,"(34.05754, -118.36008)"
2013-2014,Los Angeles,Olympia Medical Center,106190534,30-day Mortality,3.82,62,3,As Expected,"(34.05754, -118.36008)"
2013-2014,Los Angeles,Monterey Park Hospital,106190547,30-day Readmission,11.95,49,6,As Expected,"(34.05308, -118.13665)"
2013-2014,Los Angeles,Monterey Park Hospital,106190547,30-day Mortality,4.36,55,2,As Expected,"(34.05308, -118.13665)"
2013-2014,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Mortality,6.84,782,60,Better,"(34.07681, -118.38061)"
2013-2014,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Readmission,14.55,718,110,As Expected,"(34.07681, -118.38061)"
2013-2014,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Readmission,12,314,38,As Expected,"(34.22075, -118.53186)"
2013-2014,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Mortality,11.73,342,43,As Expected,"(34.22075, -118.53186)"
2013-2014,Los Angeles,College Medical Center,106190587,30-day Readmission,6.37,35,3,As Expected,"(33.80759, -118.19355)"
2013-2014,Los Angeles,College Medical Center,106190587,30-day Mortality,3.89,37,2,As Expected,"(33.80759, -118.19355)"
2013-2014,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Mortality,9.45,576,54,As Expected,"(34.07852, -117.75234)"
2013-2014,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Readmission,10.42,533,54,As Expected,"(34.07852, -117.75234)"
2013-2014,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Readmission,12.16,583,73,As Expected,"(33.96775, -118.04671)"
2013-2014,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Mortality,8.94,628,65,As Expected,"(33.96775, -118.04671)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Mortality,8.25,370,25,As Expected,"(34.06242, -117.94528)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Readmission,13.87,353,46,As Expected,"(34.06242, -117.94528)"
2013-2014,Los Angeles,San Dimas Community Hospital,106190673,30-day Mortality,7.59,55,3,As Expected,"(34.09922, -117.83218)"
2013-2014,Los Angeles,San Dimas Community Hospital,106190673,30-day Readmission,13.71,55,7,As Expected,"(34.09922, -117.83218)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Readmission,15.34,145,22,As Expected,"(33.73798, -118.30557)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Mortality,9.55,155,16,As Expected,"(33.73798, -118.30557)"
2013-2014,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Readmission,13.93,183,25,As Expected,"(34.02755, -118.48623)"
2013-2014,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Mortality,4.69,200,9,Better,"(34.02755, -118.48623)"
2013-2014,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Readmission,22.2,32,6,As Expected,"(34.24088, -118.39555)"
2013-2014,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Mortality,6.3,34,1,As Expected,"(34.24088, -118.39555)"
2013-2014,Los Angeles,Sherman Oaks Hospital,106190708,30-day Readmission,13.75,55,8,As Expected,"(34.15995, -118.4488)"
2013-2014,Los Angeles,Sherman Oaks Hospital,106190708,30-day Mortality,1.51,57,1,Better,"(34.15995, -118.4488)"
2013-2014,Los Angeles,Saint Francis Medical Center,106190754,30-day Mortality,8.03,262,16,As Expected,"(33.93085, -118.20415)"
2013-2014,Los Angeles,Saint Francis Medical Center,106190754,30-day Readmission,11.63,240,31,As Expected,"(33.93085, -118.20415)"
2013-2014,Los Angeles,Saint John’s Health Center,106190756,30-day Readmission,10.3,156,16,As Expected,"(34.0298085, -118.478687)"
2013-2014,Los Angeles,Saint John’s Health Center,106190756,30-day Mortality,4.46,162,8,Better,"(34.0298085, -118.478687)"
2013-2014,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Readmission,11.48,498,56,As Expected,"(34.1559, -118.32711)"
2013-2014,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Mortality,9.84,553,67,As Expected,"(34.1559, -118.32711)"
2013-2014,Los Angeles,Saint Vincent Medical Center,106190762,30-day Readmission,12.97,148,19,As Expected,"(34.06311, -118.27302)"
2013-2014,Los Angeles,Saint Vincent Medical Center,106190762,30-day Mortality,4.82,158,6,As Expected,"(34.06311, -118.27302)"
2013-2014,Los Angeles,Temple Community Hospital,106190784,30-day Readmission,8.51,44,4,As Expected,"(34.07534, -118.28366)"
2013-2014,Los Angeles,Temple Community Hospital,106190784,30-day Mortality,2.31,45,1,As Expected,"(34.07534, -118.28366)"
2013-2014,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Mortality,6.81,461,49,Better,"(34.068889, -118.445)"
2013-2014,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Readmission,14.73,413,65,As Expected,"(34.068889, -118.445)"
2013-2014,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Readmission,13.29,207,30,As Expected,"(34.19399, -118.46196)"
2013-2014,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Mortality,9.56,238,23,As Expected,"(34.19399, -118.46196)"
2013-2014,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Readmission,16.42,119,17,As Expected,"(34.20557, -118.2152)"
2013-2014,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Mortality,14.76,126,18,As Expected,"(34.20557, -118.2152)"
2013-2014,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Readmission,13.12,211,25,As Expected,"(34.20365, -118.6294)"
2013-2014,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Mortality,11.75,241,32,As Expected,"(34.20365, -118.6294)"
2013-2014,Los Angeles,White Memorial Medical Center,106190878,30-day Readmission,15.33,330,58,As Expected,"(34.051, -118.21739)"
2013-2014,Los Angeles,White Memorial Medical Center,106190878,30-day Mortality,6.39,350,21,Better,"(34.051, -118.21739)"
2013-2014,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Readmission,12.9,87,12,As Expected,"(33.95379, -118.00303)"
2013-2014,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Mortality,7.58,91,5,As Expected,"(33.95379, -118.00303)"
2013-2014,Los Angeles,Henry Mayo Newhall Hospital,106190949,30-day Mortality,7.58,296,22,As Expected,"(34.39637, -118.55324)"
2013-2014,Los Angeles,Henry Mayo Newhall Hospital,106190949,30-day Readmission,14.11,275,38,As Expected,"(34.39637, -118.55324)"
2013-2014,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Readmission,13.27,265,33,As Expected,"(33.83149, -118.29332)"
2013-2014,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Mortality,12.85,284,17,As Expected,"(33.83149, -118.29332)"
2013-2014,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Readmission,10.3,199,19,As Expected,"(34.05982, -118.21031)"
2013-2014,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Mortality,18.97,232,23,Worse,"(34.05982, -118.21031)"
2013-2014,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Readmission,9.6,147,12,As Expected,"(34.32418, -118.45255)"
2013-2014,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Mortality,2.18,149,1,As Expected,"(34.32418, -118.45255)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Readmission,8.81,293,28,As Expected,"(34.17198, -118.58829)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Mortality,10.28,322,38,As Expected,"(34.17198, -118.58829)"
2013-2014,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Readmission,10.59,38,4,As Expected,"(34.06284, -118.20287)"
2013-2014,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Mortality,2.48,40,1,As Expected,"(34.06284, -118.20287)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Readmission,12.6,450,60,As Expected,"(34.06348, -117.986)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Mortality,12.4,474,42,As Expected,"(34.06348, -117.986)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Mortality,9.47,431,25,As Expected,"(33.9171234, -118.1290216)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Readmission,9.81,399,41,As Expected,"(33.9171234, -118.1290216)"
2013-2014,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Readmission,13.98,170,24,As Expected,"(34.5843754, -118.1443461)"
2013-2014,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Mortality,11.09,181,12,As Expected,"(34.5843754, -118.1443461)"
2013-2014,Madera,Madera Community Hospital,106201281,30-day Readmission,10.87,57,6,As Expected,"(36.94535, -120.04561)"
2013-2014,Madera,Madera Community Hospital,106201281,30-day Mortality,28.68,66,11,Worse,"(36.94535, -120.04561)"
2013-2014,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Readmission,8.06,189,15,As Expected,"(38.0041, -122.55376)"
2013-2014,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Mortality,7.16,199,18,As Expected,"(38.0041, -122.55376)"
2013-2014,Marin,Marin General Hospital,106211006,30-day Readmission,10.48,240,23,As Expected,"(37.94651, -122.53715)"
2013-2014,Marin,Marin General Hospital,106211006,30-day Mortality,7.98,268,28,As Expected,"(37.94651, -122.53715)"
2013-2014,Marin,Novato Community Hospital,106214034,30-day Readmission,14.04,54,7,As Expected,"(38.09749, -122.55887)"
2013-2014,Marin,Novato Community Hospital,106214034,30-day Mortality,8,60,4,As Expected,"(38.09749, -122.55887)"
2013-2014,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Readmission,5.47,40,2,As Expected,"(39.40079, -123.34973)"
2013-2014,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Mortality,8.86,43,4,As Expected,"(39.40079, -123.34973)"
2013-2014,Mendocino,Mendocino Coast District Hospital,106231013,30-day Readmission,,,,,"(39.4326, -123.80068)"
2013-2014,Mendocino,Mendocino Coast District Hospital,106231013,30-day Mortality,16.97,30,6,As Expected,"(39.4326, -123.80068)"
2013-2014,Mendocino,Ukiah Valley Medical Center,106231396,30-day Readmission,12.15,100,12,As Expected,"(39.1528, -123.20363)"
2013-2014,Mendocino,Ukiah Valley Medical Center,106231396,30-day Mortality,15.94,118,25,Worse,"(39.1528, -123.20363)"
2013-2014,Merced,Mercy Medical Center – Merced,106240942,30-day Readmission,10.52,267,30,As Expected,"(37.3402309, -120.4651815)"
2013-2014,Merced,Mercy Medical Center – Merced,106240942,30-day Mortality,7.94,292,26,As Expected,"(37.3402309, -120.4651815)"
2013-2014,Monterey,Community Hospital Monterey PeniAs Expectedula,106270744,30-day Readmission,10.86,357,35,As Expected,"(36.59827, -121.92488)"
2013-2014,Monterey,Community Hospital Monterey PeniAs Expectedula,106270744,30-day Mortality,9.56,396,35,As Expected,"(36.59827, -121.92488)"
2013-2014,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Readmission,10.23,306,31,As Expected,"(36.66022, -121.6481)"
2013-2014,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Mortality,9.2,333,31,As Expected,"(36.66022, -121.6481)"
2013-2014,Monterey,Natividad Medical Center,106274043,30-day Readmission,8.99,54,4,As Expected,"(36.69686, -121.6297)"
2013-2014,Monterey,Natividad Medical Center,106274043,30-day Mortality,0,55,0,As Expected,"(36.69686, -121.6297)"
2013-2014,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Readmission,8.48,181,16,As Expected,"(38.32363, -122.296)"
2013-2014,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Mortality,13.18,209,35,As Expected,"(38.32363, -122.296)"
2013-2014,Napa,Saint Helena Hospital,106281078,30-day Mortality,7.84,46,5,As Expected,"(38.53937349, -122.473003)"
2013-2014,Napa,Saint Helena Hospital,106281078,30-day Readmission,16.01,45,7,As Expected,"(38.53937349, -122.473003)"
2013-2014,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Readmission,8.23,156,11,As Expected,"(39.22932, -121.04748)"
2013-2014,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Mortality,11.39,174,23,As Expected,"(39.22932, -121.04748)"
2013-2014,Orange,Orange Coast Memorial Medical Center,106300225,30-day Readmission,15,180,26,As Expected,"(33.70162, -117.95524)"
2013-2014,Orange,Orange Coast Memorial Medical Center,106300225,30-day Mortality,10.95,193,19,As Expected,"(33.70162, -117.95524)"
2013-2014,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Readmission,11.97,208,24,As Expected,"(33.84725, -117.93248)"
2013-2014,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Mortality,9.52,221,15,As Expected,"(33.84725, -117.93248)"
2013-2014,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Readmission,10.45,429,49,As Expected,"(33.71546, -117.93694)"
2013-2014,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Mortality,8.4,480,47,As Expected,"(33.71546, -117.93694)"
2013-2014,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Readmission,12.53,799,92,As Expected,"(33.62526, -117.92949)"
2013-2014,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Mortality,9.33,869,91,As Expected,"(33.62526, -117.92949)"
2013-2014,Orange,Huntington Beach Hospital,106301209,30-day Readmission,12.88,60,8,As Expected,"(33.70442, -117.98895)"
2013-2014,Orange,Huntington Beach Hospital,106301209,30-day Mortality,3.48,64,2,As Expected,"(33.70442, -117.98895)"
2013-2014,Orange,La Palma Intercommunity Hospital,106301234,30-day Readmission,8.78,64,6,As Expected,"(33.8485, -118.03737)"
